a,x,P-value
0,17,1.141226761760078369e-03
16,16,3.400805039812960439e-08
21,30,1.051565610645207921e-04
16,16,3.400805039812960439e-08
22,28,1.797639587664199489e-06
16,16,3.400805039812960439e-08
8,10,4.308632717471823879e-03
42,63,1.410029731097234205e-07
30,30,6.393791162251981634e-15
21,30,1.051565610645207921e-04
16,16,3.400805039812960439e-08
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
16,16,3.400805039812960439e-08
25,30,3.599918816209931959e-08
16,16,3.400805039812960439e-08
12,12,2.630033763947266159e-06
23,32,1.505053769723827629e-05
16,16,3.400805039812960439e-08
11,12,6.417773979127166432e-05
43,53,1.175952352756994391e-12
30,30,6.393791162251981634e-15
20,26,9.965508490169030308e-06
16,16,3.400805039812960439e-08
23,28,2.274175381200667319e-07
16,16,3.400805039812960439e-08
10,11,1.736861453134914274e-04
22,24,6.047497419905050147e-09
16,16,3.400805039812960439e-08
9,10,4.655647268776901080e-04
9,10,4.655647268776901080e-04
25,30,3.599918816209931959e-08
16,16,3.400805039812960439e-08
12,12,2.630033763947266159e-06
10,11,1.736861453134914274e-04
22,28,1.797639587664199489e-06
16,16,3.400805039812960439e-08
8,10,4.308632717471823879e-03
10,11,1.736861453134914274e-04
11,12,6.417773979127166432e-05
55,96,2.387904004942954512e-06
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
7,10,3.782646627961866459e-02
10,14,7.720388697829726199e-03
4,26,3.729602315477649477e-02
34,54,1.356561692593035776e-05
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
33,64,4.178977008127553704e-03
0,13,5.956893805859387464e-03
8,10,4.308632717471823879e-03
0,17,1.141226761760078369e-03
20,30,3.237484763477014682e-04
9,12,4.952388856881766339e-03
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
7,10,3.782646627961866459e-02
8,10,4.308632717471823879e-03
16,29,2.749255499421158350e-02
0,13,5.956893805859387464e-03
8,11,2.004821247877851959e-02
8,11,2.004821247877851959e-02
20,30,3.237484763477014682e-04
7,10,3.782646627961866459e-02
9,12,4.952388856881766339e-03
9,12,4.952388856881766339e-03
14,19,8.118804148824849878e-04
9,12,4.952388856881766339e-03
12,14,1.132962130275201243e-04
10,15,1.256619413833789424e-02
8,10,4.308632717471823879e-03
12,14,1.132962130275201243e-04
10,10,2.284329436145178670e-05
8,10,4.308632717471823879e-03
55,96,2.387904004942954512e-06
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
7,10,3.782646627961866459e-02
10,14,7.720388697829726199e-03
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
7,10,3.782646627961866459e-02
8,10,4.308632717471823879e-03
33,64,4.178977008127553704e-03
0,13,5.956893805859387464e-03
8,10,4.308632717471823879e-03
20,30,3.237484763477014682e-04
7,10,3.782646627961866459e-02
9,12,4.952388856881766339e-03
34,54,1.356561692593035776e-05
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
16,29,2.749255499421158350e-02
0,13,5.956893805859387464e-03
8,11,2.004821247877851959e-02
8,11,2.004821247877851959e-02
20,30,3.237484763477014682e-04
9,12,4.952388856881766339e-03
9,12,4.952388856881766339e-03
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
14,19,8.118804148824849878e-04
12,14,1.132962130275201243e-04
10,15,1.256619413833789424e-02
8,10,4.308632717471823879e-03
12,14,1.132962130275201243e-04
10,10,2.284329436145178670e-05
8,10,4.308632717471823879e-03
9,12,4.952388856881766339e-03
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
7,10,3.782646627961866459e-02
33,175,6.903030263114601018e-07
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
5,29,4.825949105535230765e-02
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
0,10,1.814995816779501128e-02
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
0,10,1.814995816779501128e-02
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
0,10,1.814995816779501128e-02
0,10,1.814995816779501128e-02
14,76,1.585819480059410874e-03
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
17,72,4.020499141720144248e-02
0,10,1.814995816779501128e-02
17,72,4.020499141720144248e-02
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
24,49,4.390894370131215307e-02
14,76,1.585819480059410874e-03
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
3,28,7.498802121604856985e-03
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
24,49,4.390894370131215307e-02
10,48,4.282975875121451670e-02
5,31,3.331409586868581962e-02
4,26,3.729602315477649477e-02
4,27,3.798516338927700187e-02
0,19,3.664812809498033423e-04
0,17,1.141226761760078369e-03
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
55,96,2.387904004942954512e-06
30,61,1.763423384511856457e-02
31,51,1.122655100186235085e-04
18,28,1.840832482670896018e-03
30,61,1.763423384511856457e-02
31,51,1.122655100186235085e-04
18,24,8.398913052010717169e-05
8,11,2.004821247877851959e-02
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
34,54,1.356561692593035776e-05
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
0,17,1.141226761760078369e-03
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
18,28,1.840832482670896018e-03
0,13,5.956893805859387464e-03
7,10,3.782646627961866459e-02
8,11,2.004821247877851959e-02
22,28,1.797639587664199489e-06
9,12,4.952388856881766339e-03
8,11,2.004821247877851959e-02
9,12,4.952388856881766339e-03
8,11,2.004821247877851959e-02
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
10,48,4.282975875121451670e-02
5,31,3.331409586868581962e-02
4,27,3.798516338927700187e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
0,17,1.141226761760078369e-03
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
3,29,4.671264708299187156e-03
1,15,2.553913508351087630e-02
17,31,2.084458865714813869e-02
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
0,17,1.141226761760078369e-03
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
17,28,4.526628927304736025e-03
